 name  subgroup  row  col  crate  neighbor_crate
 W188         0   29   18      3              -1
 W189         0   29   19      3              -1
 W190         0   29   20      3               4
 W191         0   29   21      4               3
 W192         0   29   22      4              -1
 W193         0   29   23      4              -1
 W194         0   29   24      4              -1
 W195         0   29   25      4              -1
 W196         0   29   26      4               5
 W197         0   29   27      5               4
 W198         0   29   28      5              -1
 W199         0   29   29      5              -1
 W200         0   29   30      5              -1
 W201         0   29   31      5              -1
 W202         0   29   32      5               6
 W203         0   29   33      6               5
 W204         0   29   34      6              -1
 W205         0   28    1      0              -1
 W206         0   28    2      0               1
 W207         0   28    3      1               0
 W208         0   28    4      1              -1
 W209         0   28    5      1              -1
 W210         0   28    6      1              -1
 W211         0   28    7      1              -1
 W212         0   28    8      1               2
 W213         0   28    9      2               1
 W214         0   28   10      2              -1
 W215         0   28   11      2              -1
 W216         0   28   12      2              -1
 W217         0   28   13      2              -1
 W218         0   28   14      2               3
 W219         0   28   15      3               2
 W220         0   28   16      3              -1
 W221         0   28   17      3              -1
 W222         0   28   18      3              -1
 W223         0   28   19      3              -1
 W224         0   28   20      3               4
 W225         0   28   21      4               3
 W226         0   28   22      4              -1
 W227         0   28   23      4              -1
 W228         0   28   24      4              -1
 W229         0   28   25      4              -1
 W230         0   28   26      4               5
 W231         0   28   27      5               4
 W232         0   28   28      5              -1
 W233         0   28   29      5              -1
 W234         0   28   30      5              -1
 W235         0   28   31      5              -1
 W236         0   28   32      5               6
 W237         0   28   33      6               5
 W238         0   28   34      6              -1
 W239         0   27    1      0              -1
 W240         0   27    2      0               1
 W241         0   27    3      1               0
 W242         0   27    4      1              -1
 W243         0   27    5      1              -1
 W244         0   27    6      1              -1
 W245         0   27    7      1              -1
 W246         0   27    8      1               2
 W247         0   27    9      2               1
 W248         0   27   10      2              -1
 W249         0   27   11      2              -1
 W250         0   27   12      2              -1
 W251         0   27   13      2              -1
 W252         0   27   14      2               3
 W253         0   27   15      3               2
 W254         0   27   16      3              -1
 W255         0   27   17      3              -1
 W256         0   27   18      3              -1
 W257         0   27   19      3              -1
 W258         0   27   20      3               4
 W259         0   27   21      4               3
 W260         0   27   22      4              -1
 W261         0   27   23      4              -1
 W262         0   27   24      4              -1
 W263         0   27   25      4              -1
 W264         0   27   26      4               5
 W265         0   27   27      5               4
 W266         0   27   28      5              -1
 W267         0   27   29      5              -1
 W268         0   27   30      5              -1
 W269         0   27   31      5              -1
 W270         0   27   32      5               6
 W271         0   27   33      6               5
 W272         0   27   34      6              -1
 W273         0   26    1      0              -1
 W274         0   26    2      0               1
 W275         0   26    3      1               0
 W276         0   26    4      1              -1
 W277         0   26    5      1              -1
 W278         0   26    6      1              -1
 W279         0   26    7      1              -1
 W280         0   26    8      1               2
 W281         0   26    9      2               1
 W282         0   26   10      2              -1
 W283         0   26   11      2              -1
 W284         0   26   12      2              -1
 W285         0   26   13      2              -1
 W286         0   26   14      2               3
 W287         0   26   15      3               2
 W288         0   26   16      3              -1
 W289         0   26   17      3              -1
 W290         0   26   18      3              -1
 W291         0   26   19      3              -1
 W292         0   26   20      3               4
 W293         0   26   21      4               3
 W294         0   26   22      4              -1
 W295         0   26   23      4              -1
 W296         0   26   24      4              -1
 W297         0   26   25      4              -1
 W298         0   26   26      4               5
 W299         0   26   27      5               4
 W300         0   26   28      5              -1
 W301         0   26   29      5              -1
 W302         0   26   30      5              -1
 W303         0   26   31      5              -1
 W304         0   26   32      5               6
 W305         0   26   33      6               5
 W306         0   26   34      6              -1
